Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
11:13.0,-6.622828,1.899999,1.408721,-1.370436,-2.495317,-1.14667,-15.43792,-2.539413,-42.908478,111.86541,-33.710808,-2.016543,1
11:13.1,-3.340004,0.010029,-2.278861,-0.581075,0.22929,0.532605,-16.30278,-1.116234,-42.999023,114.350657,-30.168078,-1.503965,1
11:13.2,1.929039,7.378007,17.081878,1.758305,2.122759,0.459518,-6.939804,-7.508972,-45.588013,112.124365,-40.562954,9.012897,1
11:13.3,3.749852,11.543246,19.016006,-2.403934,2.924511,1.363239,1.556465,-0.893181,-46.435944,100.846338,-35.968937,14.584362,1
11:13.4,-3.654351,2.001488,-3.355871,1.395493,-0.219321,0.761182,0.133911,-8.444389,-46.198456,96.095895,-44.512517,8.313006,1
11:13.5,-3.747008,2.58707,-1.091231,0.375533,-1.82451,-0.69694,-6.389664,-12.301888,-45.908112,102.33527,-47.501173,4.412071,1
11:13.6,3.194956,10.433603,16.076868,0.613177,1.119394,0.354969,-1.896011,-14.548721,-45.857086,98.514003,-51.48891,7.303993,1
11:13.7,-2.864443,11.291918,3.170257,0.694225,1.966393,-0.794431,5.455933,-21.144302,-44.125824,109.482227,-58.236846,25.1872,1
11:13.8,2.243984,-0.15867,5.631589,1.363125,-1.40461,1.759103,0.093994,-27.955231,-40.982758,106.402268,-67.483776,16.615007,1
11:13.9,-0.724194,1.202749,1.421444,-5.047316,-0.833196,2.386472,-7.965034,-3.942612,-46.080963,81.712961,-40.327802,-9.468149,1
11:14.0,4.483327,14.206507,18.569185,-1.659103,-0.783284,1.549222,-11.197914,6.378944,-42.945343,75.387459,-28.557562,-18.669858,1
11:14.1,7.685917,10.39169,24.551944,-1.479507,1.909564,2.751226,-1.603065,14.868828,-41.482056,65.749415,-19.055819,-12.75547,1
11:14.2,1.428479,-1.55302,-0.566572,4.869453,1.547237,0.455851,8.296013,-6.823975,-46.26123,58.87168,-43.983482,-4.932684,1
11:14.3,-3.435057,-4.514013,-6.686595,3.534626,-2.037651,2.058343,4.515892,-21.172966,-44.039978,41.868869,-59.119763,-22.894965,1
11:14.4,1.3463,0.091011,1.76468,0.091598,-0.668166,0.552549,-1.290565,-26.449028,-41.53775,30.786668,-62.262019,-37.741413,1
11:14.5,13.587994,23.035148,34.441728,-1.746719,1.300983,0.545188,4.024803,-14.836067,-45.031647,35.220524,-50.101846,-26.648695,1
11:14.6,1.960174,8.821905,4.472849,-3.22043,-1.758479,5.211998,4.138672,-5.512466,-46.195862,19.616282,-29.665372,-33.297063,1
11:14.7,-6.106551,2.342928,-1.999542,-0.880763,-0.003726,1.712273,3.846382,-4.71788,-45.858673,14.29283,-23.80453,-35.162099,1
11:14.8,-2.430795,5.58294,6.613547,2.341159,1.156818,0.683395,5.951294,-14.80938,-44.485596,1.796936,-31.073816,-38.252434,1
11:14.9,4.721182,19.333346,31.614108,0.681137,3.207186,-0.226995,20.560181,-19.103516,-39.127838,-1.707784,-35.666623,-20.856353,1
11:15.0,0.677641,2.825674,3.65944,5.519822,2.962338,1.731073,31.288616,-34.500656,-18.44632,-15.624375,-60.254244,-8.603313,1
11:15.1,2.383643,-5.16007,-6.10251,0.09584,3.856582,-0.815315,36.42989,-37.102135,-4.139374,-12.431451,-67.372975,14.499615,1
11:15.2,-0.040416,-1.655108,-2.561922,2.373052,0.215791,1.804275,30.077911,-43.053955,2.135925,-43.424942,-74.364758,-10.52159,1
11:15.3,14.693595,6.968758,37.414845,-4.978205,1.519094,1.384225,25.523911,-41.823082,-9.911194,-50.819079,-47.541802,-8.425376,1
11:15.4,1.406475,6.526728,20.480411,-3.140006,-2.190491,3.264531,14.914467,-37.309517,-25.772552,-60.937671,-19.159373,-18.033359,1
11:15.5,-7.876171,6.165978,-0.459245,-2.82109,-2.719269,1.670133,4.961891,-29.697304,-35.751465,-62.107359,-3.544273,-28.319146,1
11:15.6,1.022673,4.003724,4.182902,4.046553,0.551171,1.409064,1.241692,-40.01767,-25.106964,-78.9364,-16.990119,-29.5203,1
11:15.7,8.045469,8.082892,37.895646,-0.344936,2.191966,-0.544115,7.15094,-42.001755,-20.921783,-78.474155,-20.59822,-16.624218,1
11:15.8,1.512754,2.629432,1.112487,4.917986,-0.639957,1.270246,6.545853,-47.57972,-6.443115,-89.191678,-39.367039,-14.896533,1
11:15.9,0.930914,-3.991599,-7.055129,0.97353,1.575869,0.481956,6.055252,-49.264946,-4.11731,-93.743532,-44.396033,-7.494382,1
11:16.0,-1.634152,0.769999,-2.526297,0.101576,2.673303,0.545325,2.484131,-49.774162,-1.959229,-101.89174,-46.591558,-5.282374,1
11:16.1,9.861792,7.373816,27.306815,-1.147752,0.51642,0.98091,-0.14621,-48.172615,-5.077026,-104.603379,-40.220078,-3.845661,1
